sample,method,scoring,pc01,pc1,pc5
F01,all,ms2rescore,0.2026601173082049,-4.115474059361757e-05,-0.1588112458400697
F01,all,msamanda,283.36061023357405,219.8609654943696,179.50579925540643
F01,first,ms2rescore,0.2180426547920247,-0.0003698743844351,-0.1811732676351643
F01,first,msamanda,286.29862454471487,225.9688998960931,185.01071347080227
F01,second,ms2rescore,0.2125999335357149,-0.0001240610005223,-0.1554124388409128
F01,second,msamanda,228.45563688379244,190.0786684855675,161.36256574319916
F06,all,ms2rescore,0.1587572249263203,-4.997227356927329e-05,-0.1292229157337961
F06,all,msamanda,264.75471695820846,225.7864540864648,189.13513791169987
F06,first,ms2rescore,0.1792044012078448,-0.0004046595865091,-0.1579160984665688
F06,first,msamanda,267.0204558641422,232.36104994281644,195.4422862317953
F06,second,ms2rescore,0.1722145228303327,-0.0002569823879275,-0.1266032811990534
F06,second,msamanda,225.26575281929308,186.15671385089328,164.16766737467125
F07,all,ms2rescore,0.1413176755899458,-2.0566708442626885e-05,-0.123450679728109
F07,all,msamanda,274.87455849470496,225.8181460235025,191.0035778586072
F07,first,ms2rescore,0.1732483940676511,-0.00011614384207,-0.1409109582551033
F07,first,msamanda,282.50559335428824,231.0382516271281,196.613288969432
F07,second,ms2rescore,0.1386618700259223,-1.78912740577043e-05,-0.1111111769589075
F07,second,msamanda,234.42195538773,198.0495913310122,167.56066742124543
S03,all,ms2rescore,0.237277297250072,-2.998254373350576e-05,-0.1615072357393707
S03,all,msamanda,200.4982558802228,161.54206737539585,130.31056103253422
S03,first,ms2rescore,0.2164614268566666,-0.0002066917437802,-0.18712736662901
S03,first,msamanda,198.32092508841868,159.66751124869378,129.23720168418936
S03,second,ms2rescore,0.2524930639550546,-0.000112858576905,-0.1487214746175244
S03,second,msamanda,205.8629281207444,168.68806890512894,132.488554825726
S05,all,ms2rescore,0.209488568769206,-4.7384919870403006e-05,-0.165388578144734
S05,all,msamanda,205.6867549129615,161.5341814420196,130.64393694667592
S05,first,ms2rescore,0.2251193627067825,-8.517606475976393e-05,-0.1929468126625709
S05,first,msamanda,199.0489133454847,159.6992592486519,129.1800414614186
S05,second,ms2rescore,0.2187885498226548,-8.406183547952627e-05,-0.1610272579720336
S05,second,msamanda,219.2219000644813,165.59600199876772,133.2702715448538
S07,all,ms2rescore,0.1548612800944464,-0.0003219432690247,-0.123617209477293
S07,all,msamanda,219.12174118019576,173.95381801328267,142.15470844273383
S07,first,ms2rescore,0.2238331349560376,-0.000665076129019,-0.1854517231994465
S07,first,msamanda,216.17461115781884,178.52847581101784,144.61033955532446
S07,second,ms2rescore,0.1939282272869514,-0.000869745501335,-0.1378204198523744
S07,second,msamanda,264.2801864966658,164.74574532831662,137.47011148803384
S08,all,ms2rescore,0.2001282703532377,-0.0001854658147589,-0.1582948151547145
S08,all,msamanda,293.6942306073477,195.69184550917103,159.8351713445797
S08,first,ms2rescore,0.1922242594555837,-0.0002452438262325,-0.1986694529513657
S08,first,msamanda,293.6942306073477,197.8007887288459,162.57764268241334
S08,second,ms2rescore,0.2162095521159369,-0.0001889939633887,-0.1404347036341734
S08,second,msamanda,245.38066735577044,182.6784542852779,148.69823129157547
S11,all,ms2rescore,0.1745614003265403,-7.744344223367139e-05,-0.1463675612036294
S11,all,msamanda,244.249380285649,187.95053443647504,152.10995910561164
S11,first,ms2rescore,0.1867219511449729,-0.0008692080435466,-0.1927501953712716
S11,first,msamanda,248.4733817998187,193.59883727891028,158.7270623916852
S11,second,ms2rescore,0.1571045812660335,-0.0001151535482402,-0.1330705004482355
S11,second,msamanda,205.11921931623425,162.7315613914867,134.11420568885683
