criterium	chart	threshold	training	samples	counts
PSMs	all	0.001	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[82590, 43284, 82197, 97558, 147869, 27731, 59241, 129901]
PSMs	all	0.001	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[82665, 42781, 81093, 99283, 148005, 27772, 58374, 127969]
PSMs	all	0.01	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[106758, 54111, 102477, 124467, 186244, 34162, 75683, 158162]
PSMs	all	0.01	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[106693, 53563, 101261, 124022, 184430, 34205, 74651, 155679]
PSMs	all	0.05	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[122761, 62111, 117763, 140218, 212588, 37476, 85658, 174694]
PSMs	all	0.05	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[122718, 61643, 116771, 139635, 211238, 37565, 85077, 173775]
PSMs	first	0.001	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[50272, 26271, 51201, 71499, 97737, 16944, 44998, 77448]
PSMs	first	0.001	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[50818, 26419, 51315, 68810, 94265, 17190, 43778, 77877]
PSMs	first	0.01	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[60894, 31183, 61095, 80958, 111987, 19395, 52101, 89900]
PSMs	first	0.01	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[61109, 31092, 60431, 79357, 108869, 19268, 51287, 88563]
PSMs	first	0.05	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[67431, 34523, 67455, 86206, 121147, 20331, 55736, 94922]
PSMs	first	0.05	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[67094, 34242, 66854, 84519, 117940, 20127, 54913, 93806]
PSMs	second	0.001	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[32318, 17013, 30996, 26059, 50132, 10787, 14243, 52453]
PSMs	second	0.001	together	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[31847, 16362, 29778, 30473, 53740, 10582, 14596, 50092]
PSMs	second	0.01	separate	['F01', 'F06', 'F07', 'S03', 'S05', 'S07', 'S08', 'S11']	[45864, 22928, 41382, 43509, 74257, 14767, 23582, 68262]
