version	sample	method	scoring	threshold	1	2	3	4	5	6	order	total
default	S03	MaxPrec5	msamanda	1.0	25296	44555	43833	23425	6841	969	0	144919
final	S03	merged	ms2rescore	0.05	78062	26737	2894	0	0	0	0	107693
default	S03	MaxPrec2	msamanda	0.01	70095	5587	93	0	0	0	0	75775
default	S03	MaxPrec2	msamanda	0.05	78134	11130	368	0	0	0	0	89632
default	S03	MaxPrec2	msamanda	1.0	39537	65472	37659	33	1	0	0	142702
final	S03	merged	ms2rescore	0.01	79550	20204	1503	0	0	0	0	101257
default	S03	MaxPrec3	msamanda	0.01	70096	5583	98	0	0	0	0	75777
default	S03	MaxPrec3	msamanda	0.05	78130	11106	389	3	0	0	0	89628
default	S03	MaxPrec3	msamanda	1.0	28838	52362	47028	16273	7	0	0	144508
default	S03	second	ms2rescore	0.001	23340	1167	25	0	0	0	0	24532
default	S03	second	ms2rescore	0.01	35730	3715	173	4	0	0	0	39622
default	S03	second	ms2rescore	0.05	41894	6355	480	15	0	0	0	48744
default	S03	second	ms2rescore	1.0	43892	49068	29919	9407	1501	2	0	133789
default	S03	first	ms2rescore	1.0	114126	0	0	0	0	0	0	114126
default	S03	MaxPrec4	msamanda	0.05	78131	11104	388	4	0	0	0	89627
default	S03	MaxPrec2	msamanda	0.001	54765	2219	15	0	0	0	0	56999
default	S03	all	ms2rescore	0.001	74529	10778	480	6	0	0	0	85793
default	S03	MaxPrec1	msamanda	0.001	54928	2071	0	0	0	0	0	56999
default	S03	MaxPrec1	msamanda	0.01	70558	5214	0	0	0	0	0	75772
default	S03	MaxPrec1	msamanda	0.05	79348	10398	0	0	0	0	0	89746
default	S03	MaxPrec1	msamanda	1.0	64083	73096	51	4	0	0	0	137234
default	S03	first	msamanda	0.001	47100	0	0	0	0	0	0	47100
default	S03	first	msamanda	0.01	60819	0	0	0	0	0	0	60819
default	S03	first	msamanda	0.05	70821	0	0	0	0	0	0	70821
default	S03	first	msamanda	1.0	112149	0	0	0	0	0	0	112149
default	S03	MaxPrec4	msamanda	1.0	25851	46167	45276	22866	4706	3	0	144869
default	S03	all	ms2rescore	0.01	78492	20179	1792	69	2	0	0	100534
default	S03	MaxPrec4	msamanda	0.01	70095	5583	98	0	0	0	0	75776
default	S03	all	ms2rescore	0.05	76676	26735	3673	260	9	0	0	107353
default	S03	first	ms2rescore	0.05	86206	0	0	0	0	0	0	86206
default	S03	first	ms2rescore	0.001	71499	0	0	0	0	0	0	71499
final	S03	first	msamanda	0.05	70821	0	0	0	0	0	0	70821
default	S03	MaxPrec4	msamanda	0.001	54766	2219	15	0	0	0	0	57000
final	S03	first	ms2rescore	0.001	71499	0	0	0	0	0	0	71499
final	S03	merged	ms2rescore	1.0	36950	64987	41267	24	1	0	0	143229
final	S03	first	ms2rescore	0.05	86206	0	0	0	0	0	0	86206
final	S03	first	ms2rescore	1.0	114126	0	0	0	0	0	0	114126
final	S03	second	ms2rescore	0.001	23677	1191	0	0	0	0	0	24868
final	S03	second	ms2rescore	0.01	36224	3641	1	0	0	0	0	39866
final	S03	second	ms2rescore	0.05	42455	5777	1	0	0	0	0	48233
final	S03	second	ms2rescore	1.0	70883	52854	35	1	0	0	0	123773
final	S03	all	msamanda	0.001	54765	2219	15	0	0	0	0	56999
final	S03	all	msamanda	0.01	70095	5587	93	0	0	0	0	75775
default	S03	first	ms2rescore	0.01	80958	0	0	0	0	0	0	80958
final	S03	all	msamanda	0.05	78134	11130	368	0	0	0	0	89632
final	S03	first	msamanda	0.001	47100	0	0	0	0	0	0	47100
final	S03	first	msamanda	0.01	60819	0	0	0	0	0	0	60819
final	S03	first	msamanda	1.0	112149	0	0	0	0	0	0	112149
final	S03	all	ms2rescore	0.001	75127	11337	494	0	0	0	0	86958
final	S03	first	ms2rescore	0.01	80958	0	0	0	0	0	0	80958
default	S03	MaxPrec3	msamanda	0.001	54766	2219	15	0	0	0	0	57000
final	S03	all	ms2rescore	0.05	77535	26685	2910	0	0	0	0	107130
final	S03	all	ms2rescore	1.0	36834	64994	41327	27	0	0	0	143182
default	S03	merged	ms2rescore	0.001	76406	9855	372	4	0	0	0	86637
default	S03	merged	ms2rescore	0.01	79462	19971	1657	67	2	0	0	101159
default	S03	merged	ms2rescore	0.05	77406	26747	3499	222	5	0	0	107879
default	S03	merged	ms2rescore	1.0	23313	43038	44009	25703	7942	1184	0	145189
final	S03	all	msamanda	1.0	39537	65472	37659	33	1	0	0	142702
default	S03	all	ms2rescore	1.0	23366	42682	44310	25616	8006	1148	0	145128
final	S03	all	ms2rescore	0.01	78850	20225	1574	0	0	0	0	100649
final	S03	merged	ms2rescore	0.001	76376	10072	346	0	0	0	0	86794
default	S03	MaxPrec5	msamanda	0.05	78128	11106	388	4	0	0	0	89626
default	S03	MaxPrec5	msamanda	0.01	70093	5583	98	0	0	0	0	75774
default	S03	MaxPrec5	msamanda	0.001	54764	2219	15	0	0	0	0	56998
default	S05	MaxPrec4	msamanda	1.0	39476	71800	70595	35524	7501	30	1	224926
final	S05	merged	ms2rescore	0.001	111798	16883	767	1	0	0	1	129449
default	S05	merged	ms2rescore	0.01	118680	29837	2634	123	1	0	1	151275
default	S05	first	ms2rescore	0.05	121147	0	0	0	0	0	1	121147
default	S05	first	ms2rescore	1.0	171182	0	0	0	0	0	1	171182
final	S05	merged	ms2rescore	0.05	118756	40176	4480	10	0	0	1	163422
default	S05	merged	ms2rescore	0.05	117754	40132	5357	368	10	0	1	163621
final	S05	all	ms2rescore	0.001	110214	17591	867	2	0	0	1	128674
final	S05	all	ms2rescore	0.01	117744	29769	2376	5	0	0	1	149894
final	S05	all	ms2rescore	0.05	117809	39930	4511	9	0	0	1	162259
final	S05	all	ms2rescore	1.0	56972	101160	63382	265	10	0	1	221789
default	S05	merged	ms2rescore	1.0	35871	66289	68764	40073	12344	1965	1	225306
default	S05	MaxPrec3	msamanda	0.001	74834	2948	18	0	0	0	1	77800
final	S05	merged	ms2rescore	1.0	57094	101015	63625	247	10	0	1	221991
default	S05	merged	ms2rescore	0.001	111905	17479	891	16	0	0	1	130291
default	S05	MaxPrec5	msamanda	0.01	100689	8492	189	1	0	0	1	109371
