sample,method,scoring,pc01,pc1,pc5
F07,first,ms2rescore,0.1732483940676511,-7.819535061609358e-05,-0.1408624475045222
F07,first,msamanda,282.50559335428824,231.03980789814312,196.613288969432
F06,first,ms2rescore,0.1792203355794514,-0.0003918227489623,-0.1578989416168484
F06,first,msamanda,267.0204558641422,232.37071865653888,195.4479303666309
S11,first,ms2rescore,0.1867219511449729,-0.0008683182186342,-0.1927342690974112
S11,first,msamanda,248.48465385968188,193.59883727891028,158.73129370799728
S07,first,ms2rescore,0.2238331349560376,-0.0006196858462499,-0.1854517231994465
S07,first,msamanda,216.17461115781884,178.53716530388903,144.61543861750374
S03,first,ms2rescore,0.2164614268566666,-0.000202068045804,-0.187105376766632
S03,first,msamanda,198.32426679546057,159.6675900478235,129.2381300711534
S05,first,ms2rescore,0.2251193627067825,-5.134660540808101e-05,-0.1929249649792627
S05,first,msamanda,199.0489133454847,159.6992592486519,129.1800414614186
S08,first,ms2rescore,0.1922242594555837,-0.0001965647495483,-0.1986206062061464
S08,first,msamanda,293.6944447862225,197.8148978363413,162.58012201407746
F01,first,ms2rescore,0.2180723157977485,-0.0003698743844351,-0.1811732676351643
F01,first,msamanda,286.29862454471487,225.9688998960931,185.01077041229613
S07,all,ms2rescore,0.1548612800944464,-0.000311398643666,-0.123617209477293
S07,all,msamanda,219.12174118019576,173.96566587960226,142.15470844273383
F01,all,ms2rescore,0.2026736502176969,-4.115474059361757e-05,-0.1588112458400697
F01,all,msamanda,283.36061023357405,219.8609654943696,179.50579925540643
F07,all,ms2rescore,0.1413179329966555,-1.263974028057814e-05,-0.1234476721573173
F07,all,msamanda,274.87466899275825,225.82105174558595,191.0047407051989
S05,all,ms2rescore,0.209488568769206,-3.994046203315827e-05,-0.16538800533188
S05,all,msamanda,205.68706679260453,161.53447932045395,130.64393694667592
F06,all,ms2rescore,0.1587665713567337,-4.997227356927329e-05,-0.1292058120342603
F06,all,msamanda,264.75471695820846,225.79344441060908,189.13610945232483
S08,all,ms2rescore,0.2001500930585336,-0.0001854658147589,-0.1582948151547145
S08,all,msamanda,293.6944447862225,195.6974443537472,159.84055572723742
S11,all,ms2rescore,0.1745614003265403,-7.391373557010853e-05,-0.1463635510923096
S11,all,msamanda,244.2499932648105,187.9534795231237,152.1137010292636
S03,all,ms2rescore,0.2372851759342209,-2.7778432647881385e-05,-0.1615072357393707
S03,all,msamanda,200.4996820452581,161.5440386376273,130.3119824710453
S03,second,ms2rescore,0.2524930639550546,-8.863101099489152e-05,-0.1487214746175244
S03,second,msamanda,205.8698893934871,168.68892521193615,132.48868009587375
F06,second,ms2rescore,0.1722356710225415,-0.0002569823879275,-0.1266032811990534
F06,second,msamanda,225.2712995252961,186.1867608694725,164.16862787911094
F07,second,ms2rescore,0.1386626611981881,-1.78912740577043e-05,-0.1111088900003576
F07,second,msamanda,234.42699608203625,198.05027560715388,167.5669750483452
S05,second,ms2rescore,0.2187885498226548,-6.420542658995352e-05,-0.1610272579720336
S05,second,msamanda,219.23161097642307,165.5963272700356,133.27165901645418
S11,second,ms2rescore,0.1571062965491387,-0.0001131366877259,-0.1330705004482355
S11,second,msamanda,205.1205445088864,162.73380442757968,134.11420568885683
F01,second,ms2rescore,0.2125999335357149,-0.0001190466849814,-0.1554107421727455
F01,second,msamanda,228.455767487006,190.0786684855675,161.36256574319916
S08,second,ms2rescore,0.2162095521159369,-0.000147474879547,-0.1404347036341734
S08,second,msamanda,245.38066735577044,182.68496232225212,148.69823129157547
S07,second,ms2rescore,0.1939282272869514,-0.000869745501335,-0.1378142346297805
S07,second,msamanda,264.2801864966658,164.75617030532487,137.47011148803384
S05,two_prec,msamanda,204.70491183940732,161.53447932045395,130.63065923633684
F06,one_prec,msamanda,264.75471695820846,225.82642868785436,189.48235698932825
S07,one_prec,msamanda,219.12174118019576,175.76874986052258,142.43577197912114
S03,two_prec,msamanda,200.4996820452581,161.5440386376273,130.2977738497534
F01,one_prec,msamanda,283.36061023357405,219.8877643150481,179.65726836239216
F07,one_prec,msamanda,274.87466899275825,226.0331028482588,191.2377097694224
S08,one_prec,msamanda,293.6944447862225,195.94040436779227,159.95498160856903
S11,two_prec,msamanda,244.2499932648105,187.9534795231237,152.1137010292636
S05,one_prec,msamanda,205.68706679260453,161.53447932045395,130.22625639634404
S03,one_prec,msamanda,200.4996820452581,161.55247498296723,130.0353817291251
F06,two_prec,msamanda,264.75471695820846,225.79344441060908,189.13610945232483
F07,two_prec,msamanda,274.87466899275825,225.82105174558595,191.0047407051989
S07,two_prec,msamanda,219.12174118019576,173.96566587960226,142.15470844273383
S11,one_prec,msamanda,244.2499932648105,188.2318547006476,152.49503093605537
S08,two_prec,msamanda,293.6944447862225,195.6974443537472,159.84055572723742
F01,two_prec,msamanda,283.36061023357405,219.8609654943696,179.50770404173167
